"Nr OKW";"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
2;"020101";"gmina miejska";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"65,82";"0,76";"58,62";"41,38";"";"99,24";"41,69";"58,31";23
2;"020102";"gmina wiejska";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"64,85";"0,81";"55,17";"44,83";"";"99,19";"50,52";"49,48";11
2;"020103";"gmina wiejska";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"60,60";"0,77";"40,00";"60,00";"";"99,23";"62,87";"37,13";4
2;"020104";"gmina miejsko-wiejska";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"57,96";"0,84";"57,14";"42,86";"";"99,16";"60,91";"39,09";12
2;"020105";"gmina wiejska";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"57,88";"0,65";"55,00";"45,00";"";"99,35";"51,17";"48,83";7
2;"020106";"gmina wiejska";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"59,70";"0,59";"47,83";"52,17";"";"99,41";"57,64";"42,36";6
4;"020201";"gmina miejska";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"60,83";"0,88";"63,41";"36,59";"";"99,12";"47,16";"52,84";22
4;"020202";"gmina miejska";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"65,54";"0,90";"51,35";"48,65";"";"99,10";"45,30";"54,70";23
4;"020203";"gmina miejsko-wiejska";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"58,22";"0,72";"51,61";"48,39";"";"99,28";"53,80";"46,20";9
4;"020204";"gmina miejska";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"59,26";"0,56";"93,75";"6,25";"";"99,44";"57,56";"42,44";3
4;"020205";"gmina wiejska";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"65,30";"0,96";"56,52";"43,48";"";"99,04";"58,48";"41,52";13
4;"020206";"gmina wiejska";"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";"64,77";"0,82";"45,16";"54,84";"";"99,18";"62,18";"37,82";6
4;"020207";"gmina miejsko-wiejska";"gm. Niemcza";"dzierżoniowski";"dolnośląskie";"59,38";"0,71";"55,56";"44,44";"";"99,29";"55,59";"44,41";7
3;"020301";"gmina miejska";"m. Głogów";"głogowski";"dolnośląskie";"66,24";"0,77";"63,39";"36,61";"";"99,23";"49,49";"50,51";36
3;"020302";"gmina wiejska";"gm. Głogów";"głogowski";"dolnośląskie";"69,80";"0,55";"75,00";"25,00";"";"99,45";"56,05";"43,95";4
3;"020303";"gmina wiejska";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"73,12";"0,70";"60,00";"40,00";"";"99,30";"51,54";"48,46";4
3;"020304";"gmina wiejska";"gm. Kotla";"głogowski";"dolnośląskie";"61,15";"0,97";"60,00";"40,00";"";"99,03";"62,24";"37,76";5
3;"020305";"gmina wiejska";"gm. Pęcław";"głogowski";"dolnośląskie";"60,53";"0,99";"30,00";"70,00";"";"99,01";"74,55";"25,45";2
3;"020306";"gmina wiejska";"gm. Żukowice";"głogowski";"dolnośląskie";"70,92";"2,08";"71,79";"28,21";"";"97,92";"60,48";"39,52";2
1;"020401";"gmina miejsko-wiejska";"gm. Góra";"górowski";"dolnośląskie";"59,22";"0,70";"50,00";"50,00";"";"99,30";"51,65";"48,35";11
1;"020402";"gmina wiejska";"gm. Jemielno";"górowski";"dolnośląskie";"58,38";"1,16";"56,25";"43,75";"";"98,84";"68,24";"31,76";3
1;"020403";"gmina wiejska";"gm. Niechlów";"górowski";"dolnośląskie";"59,97";"1,09";"56,00";"44,00";"";"98,91";"69,97";"30,03";4
1;"020404";"gmina miejsko-wiejska";"gm. Wąsosz";"górowski";"dolnośląskie";"59,40";"1,04";"40,00";"60,00";"";"98,96";"57,56";"42,44";5
2;"020501";"gmina miejska";"m. Jawor";"jaworski";"dolnośląskie";"63,74";"0,82";"65,59";"34,41";"";"99,18";"51,83";"48,17";14
2;"020502";"gmina miejsko-wiejska";"gm. Bolków";"jaworski";"dolnośląskie";"58,91";"1,09";"53,85";"46,15";"";"98,91";"52,73";"47,27";13
2;"020503";"gmina wiejska";"gm. Męcinka";"jaworski";"dolnośląskie";"64,86";"1,40";"50,00";"50,00";"";"98,60";"63,54";"36,46";4
2;"020504";"gmina wiejska";"gm. Mściwojów";"jaworski";"dolnośląskie";"61,90";"0,77";"46,67";"53,33";"";"99,23";"56,38";"43,62";3
2;"020505";"gmina wiejska";"gm. Paszowice";"jaworski";"dolnośląskie";"61,57";"0,92";"44,44";"55,56";"";"99,08";"57,65";"42,35";2
2;"020506";"gmina wiejska";"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";"65,94";"1,24";"50,00";"50,00";"";"98,76";"56,59";"43,41";3
2;"020601";"gmina miejska";"m. Karpacz";"jeleniogórski";"dolnośląskie";"74,92";"0,58";"59,26";"40,74";"";"99,42";"27,96";"72,04";6
2;"020602";"gmina miejska";"m. Kowary";"jeleniogórski";"dolnośląskie";"61,61";"0,93";"55,32";"44,68";"";"99,07";"38,56";"61,44";7
2;"020603";"gmina miejska";"m. Piechowice";"jeleniogórski";"dolnośląskie";"66,40";"0,82";"70,37";"29,63";"";"99,18";"36,69";"63,31";4
